time_epoch_braclet acc_x acc_y acc_z gyro_x gyro_y gyro_z quat_w quat_x quat_y quat_z rssi-inCollision acc_x-inCollision acc_y-inCollision acc_z-inCollision gyro_x-inCollision gyro_y-inCollision gyro_z-inCollision quat_w-inCollision quat_x-inCollision quat_y-inCollision quat_z-inCollision bracelets-distance
1595876268.114000 914 -153 -393 -861 52 88 -5.162865e-01 6.600826e-01 4.196086e-01 3.488092e-01 56 -946 103 142 -33 21 -24 -7.281497e-01 -2.428590e-01 -6.107790e-01 1.943360e-01 0.273197
1595876268.214000 922 -192 -328 -1527 -59 2 -4.770466e-01 6.908508e-01 3.926357e-01 3.754850e-01 60 -946 122 106 -15 75 -11 -7.265567e-01 -2.421245e-01 -6.132153e-01 1.935409e-01 0.301726
1595876268.267000 922 -192 -328 -1527 -59 2 -4.770466e-01 6.908508e-01 3.926357e-01 3.754850e-01 62 -946 122 106 -15 75 -11 -7.265567e-01 -2.421245e-01 -6.132153e-01 1.935409e-01 0.333422
1595876268.314000 939 -222 -385 -1491 -140 -512 -4.093079e-01 7.220567e-01 3.817196e-01 4.066833e-01 63 -957 145 111 67 -65 -17 -7.244800e-01 -2.448095e-01 -6.143737e-01 1.942729e-01 0.354987
1595876268.367000 939 -222 -385 -1491 -140 -512 -4.093079e-01 7.220567e-01 3.817196e-01 4.066833e-01 64 -957 145 111 67 -65 -17 -7.244800e-01 -2.448095e-01 -6.143737e-01 1.942729e-01 0.383869
1595876268.467000 921 -241 -369 -1160 -163 -530 -3.432684e-01 7.392112e-01 3.794019e-01 4.379358e-01 66 -960 127 94 48 -56 13 -7.245611e-01 -2.471357e-01 -6.131700e-01 1.948276e-01 0.446680
1595876268.514000 893 -238 -351 -504 -143 -155 -3.123155e-01 7.503629e-01 3.709701e-01 4.492168e-01 65 -960 127 94 48 -56 13 -7.245611e-01 -2.471357e-01 -6.131700e-01 1.948276e-01 0.460526
1595876268.568000 893 -238 -351 -504 -143 -155 -3.123155e-01 7.503629e-01 3.709701e-01 4.492168e-01 67 -960 127 94 48 -56 13 -7.245611e-01 -2.471357e-01 -6.131700e-01 1.948276e-01 0.488533
1595876268.614000 930 -240 -338 80 -190 -98 -3.139573e-01 7.545595e-01 3.622349e-01 4.481704e-01 66 -964 161 112 -91 61 33 -7.249296e-01 -2.496390e-01 -6.119512e-01 1.940958e-01 0.502269
1595876268.667000 930 -240 -338 80 -190 -98 -3.139573e-01 7.545595e-01 3.622349e-01 4.481704e-01 65 -964 161 112 -91 61 33 -7.249296e-01 -2.496390e-01 -6.119512e-01 1.940958e-01 0.519058
1595876268.714000 944 -206 -356 978 -151 -195 -3.361191e-01 7.434048e-01 3.809187e-01 4.350566e-01 65 -961 131 130 11 56 70 -7.238555e-01 -2.485888e-01 -6.151551e-01 1.892644e-01 0.535761
1595876268.767000 944 -206 -356 978 -151 -195 -3.361191e-01 7.434048e-01 3.809187e-01 4.350566e-01 65 -961 131 130 11 56 70 -7.238555e-01 -2.485888e-01 -6.151551e-01 1.892644e-01 0.546625
1595876268.814000 895 -146 -431 1122 422 190 -3.839069e-01 7.175214e-01 4.047197e-01 4.171097e-01 66 -963 119 125 -10 4 23 -7.239352e-01 -2.487783e-01 -6.162085e-01 1.852410e-01 0.555219
1595876268.867000 895 -146 -431 1122 422 190 -3.839069e-01 7.175214e-01 4.047197e-01 4.171097e-01 64 -963 119 125 -10 4 23 -7.239352e-01 -2.487783e-01 -6.162085e-01 1.852410e-01 0.569314
1595876268.914000 923 -160 -459 599 552 450 -4.264398e-01 7.007845e-01 4.021485e-01 4.066039e-01 65 -955 116 126 65 -67 -2 -7.250595e-01 -2.491534e-01 -6.143993e-01 1.863462e-01 0.583594
1595876268.967000 923 -160 -459 599 552 450 -4.264398e-01 7.007845e-01 4.021485e-01 4.066039e-01 69 -955 116 126 65 -67 -2 -7.250595e-01 -2.491534e-01 -6.143993e-01 1.863462e-01 0.611732
1595876269.014000 830 -151 -439 198 424 411 -4.460403e-01 6.979908e-01 3.914144e-01 4.008137e-01 69 -957 114 131 114 -112 -7 -7.263240e-01 -2.520772e-01 -6.102953e-01 1.909195e-01 0.623407
1595876269.067000 830 -151 -439 198 424 411 -4.460403e-01 6.979908e-01 3.914144e-01 4.008137e-01 67 -957 114 131 114 -112 -7 -7.263240e-01 -2.520772e-01 -6.102953e-01 1.909195e-01 0.654787
1595876269.114000 767 -157 -395 -360 -46 376 -4.548383e-01 7.025214e-01 3.683507e-01 4.048501e-01 66 -956 112 140 191 -108 7 -7.284626e-01 -2.555570e-01 -6.040106e-01 1.980002e-01 0.686034
1595876269.167000 767 -157 -395 -360 -46 376 -4.548383e-01 7.025214e-01 3.683507e-01 4.048501e-01 75 -956 112 140 191 -108 7 -7.284626e-01 -2.555570e-01 -6.040106e-01 1.980002e-01 0.739887
1595876269.214000 818 -173 -479 -1050 31 53 -4.271143e-01 7.244098e-01 3.488080e-01 4.136869e-01 81 -954 141 127 86 -85 -112 -7.287538e-01 -2.576273e-01 -6.000317e-01 2.061751e-01 0.774910
1595876269.267000 818 -173 -479 -1050 31 53 -4.271143e-01 7.244098e-01 3.488080e-01 4.136869e-01 73 -954 141 127 86 -85 -112 -7.287538e-01 -2.576273e-01 -6.000317e-01 2.061751e-01 0.825069
1595876269.314000 843 -242 -423 -1485 -235 -340 -3.654178e-01 7.541511e-01 3.272098e-01 4.366459e-01 77 -943 145 147 -31 -7 -90 -7.287069e-01 -2.561674e-01 -5.992499e-01 2.103905e-01 0.868544
1595876269.367000 843 -242 -423 -1485 -235 -340 -3.654178e-01 7.541511e-01 3.272098e-01 4.366459e-01 79 -943 145 147 -31 -7 -90 -7.287069e-01 -2.561674e-01 -5.992499e-01 2.103905e-01 0.919503
1595876269.414000 912 -248 -478 -602 -630 -548 -3.027990e-01 7.766817e-01 3.306314e-01 4.424491e-01 76 -959 130 162 -81 11 -24 -7.290224e-01 -2.533023e-01 -6.002960e-01 2.097832e-01 0.956225
1595876269.467000 912 -248 -478 -602 -630 -548 -3.027990e-01 7.766817e-01 3.306314e-01 4.424491e-01 72 -959 130 162 -81 11 -24 -7.290224e-01 -2.533023e-01 -6.002960e-01 2.097832e-01 1.019292
1595876269.514000 955 -231 -370 -177 -183 -399 -2.692866e-01 7.833847e-01 3.472283e-01 4.395743e-01 65 -963 122 165 -94 -58 -29 -7.309479e-01 -2.496307e-01 -6.000901e-01 2.080662e-01 1.044163
1595876269.567000 955 -231 -370 -177 -183 -399 -2.692866e-01 7.833847e-01 3.472283e-01 4.395743e-01 73 -963 122 165 -94 -58 -29 -7.309479e-01 -2.496307e-01 -6.000901e-01 2.080662e-01 1.083220
1595876269.614000 980 -233 -329 658 -293 -579 -2.634973e-01 7.782233e-01 3.762328e-01 4.282365e-01 67 -951 94 170 -221 -53 -63 -7.349220e-01 -2.399284e-01 -6.000347e-01 2.056268e-01 1.123831
1595876269.667000 980 -233 -329 658 -293 -579 -2.634973e-01 7.782233e-01 3.762328e-01 4.282365e-01 69 -951 94 170 -221 -53 -63 -7.349220e-01 -2.399284e-01 -6.000347e-01 2.056268e-01 1.154317
1595876269.714000 1124 -205 -477 243 -51 -402 -2.693497e-01 7.642257e-01 4.158960e-01 4.128442e-01 74 -947 87 148 -81 -133 -53 -7.391565e-01 -2.312077e-01 -5.986496e-01 2.044735e-01 1.170226
1595876269.767000 1124 -205 -477 243 -51 -402 -2.693497e-01 7.642257e-01 4.158960e-01 4.128442e-01 70 -947 87 148 -81 -133 -53 -7.391565e-01 -2.312077e-01 -5.986496e-01 2.044735e-01 1.207591
1595876269.814000 819 -212 -263 -22 517 494 -2.825920e-01 7.565287e-01 4.026478e-01 4.309070e-01 69 -931 92 148 -65 -53 0 -7.413944e-01 -2.285157e-01 -5.972904e-01 2.033693e-01 1.223332
1595876269.867000 819 -212 -263 -22 517 494 -2.825920e-01 7.565287e-01 4.026478e-01 4.309070e-01 70 -931 92 148 -65 -53 0 -7.413944e-01 -2.285157e-01 -5.972904e-01 2.033693e-01 1.241231
